falhas_chamada,reclamacoes,tempo_assinatura,valor_cobrado,segundos_uso,freq_uso,freq_sms,numeros_dist_chamados,plano,situacao,idade,valor_cliente,cancelamento
0,0,20,0,3225,55,0,22,Pré-Pago,Ativo,30,1312,Não Cancelou
0,0,13,0,1695,20,20,13,Pré-Pago,Ativo,25,167175,Não Cancelou
14,0,12,0,6392,135,77,41,Contrato,Ativo,15,782485,Não Cancelou
10,0,10,0,8932,165,65,39,Pré-Pago,Ativo,45,389925,Não Cancelou
6,0,11,2,2852,39,23,18,Pré-Pago,Ativo,30,20764,Não Cancelou
0,0,4,0,4390,34,207,9,Pré-Pago,Ativo,30,100496,Não Cancelou
1,0,4,0,1487,13,0,6,Pré-Pago,Ativo,25,675,Cancelou
10,0,43,1,4370,77,13,18,Pré-Pago,Ativo,30,22988,Não Cancelou
2,0,44,0,318,11,15,5,Pré-Pago,Inativo,30,7316,Não Cancelou
12,0,42,1,2453,66,367,25,Pré-Pago,Ativo,30,156876,Não Cancelou
12,0,43,1,4198,72,9,36,Pré-Pago,Ativo,15,28435,Não Cancelou
5,0,43,1,2393,64,10,34,Pré-Pago,Ativo,25,155565,Não Cancelou
13,0,43,2,3775,88,40,29,Pré-Pago,Ativo,30,31452,Não Cancelou
6,0,43,1,2360,45,293,19,Pré-Pago,Ativo,45,792625,Não Cancelou
15,0,42,3,9115,127,152,44,Pré-Pago,Ativo,30,97768,Não Cancelou
9,0,43,1,13773,175,8,45,Pré-Pago,Ativo,30,58992,Não Cancelou
9,0,43,2,4515,89,10,26,Pré-Pago,Ativo,30,22416,Não Cancelou
8,0,43,1,5918,101,15,13,Pré-Pago,Ativo,30,30076,Não Cancelou
11,1,43,0,2238,60,16,18,Pré-Pago,Inativo,30,15592,Não Cancelou
27,0,43,4,15140,231,62,33,Pré-Pago,Ativo,30,86284,Não Cancelou
6,0,43,2,3095,33,491,9,Pré-Pago,Ativo,45,13057,Não Cancelou
11,0,42,1,15485,188,158,31,Pré-Pago,Ativo,25,1416285,Não Cancelou
5,0,42,2,6500,92,194,27,Pré-Pago,Ativo,30,103968,Não Cancelou
2,0,42,0,875,20,8,12,Pré-Pago,Inativo,25,76275,Não Cancelou
4,0,43,0,710,20,21,9,Pré-Pago,Inativo,30,1132,Não Cancelou
0,0,42,0,0,0,8,0,Pré-Pago,Inativo,25,36,Cancelou
5,0,42,1,7508,133,392,44,Pré-Pago,Ativo,30,187364,Não Cancelou
9,0,42,2,11465,160,19,48,Pré-Pago,Ativo,45,338125,Não Cancelou
10,0,42,2,6718,81,116,38,Pré-Pago,Ativo,25,827955,Não Cancelou
25,1,38,0,955,53,24,18,Pré-Pago,Inativo,30,13632,Cancelou
23,0,41,9,10435,99,9,43,Contrato,Ativo,55,17151,Não Cancelou
15,0,41,2,5818,104,34,25,Pré-Pago,Ativo,30,37288,Não Cancelou
3,0,39,1,2840,28,8,15,Pré-Pago,Ativo,30,14672,Não Cancelou
11,0,40,0,2990,47,17,17,Pré-Pago,Inativo,30,18948,Cancelou
11,1,41,0,2268,50,42,32,Pré-Pago,Inativo,45,16295,Cancelou
2,0,41,0,133,8,8,3,Pré-Pago,Inativo,30,3764,Cancelou
3,0,41,1,1668,31,8,7,Pré-Pago,Ativo,45,62475,Não Cancelou
5,0,38,2,6785,103,22,23,Pré-Pago,Ativo,55,13632,Não Cancelou
2,0,41,0,628,13,17,5,Pré-Pago,Inativo,45,58525,Cancelou
2,0,41,2,338,10,12,3,Pré-Pago,Ativo,55,2322,Não Cancelou
27,0,36,4,16075,244,8,81,Pré-Pago,Ativo,25,770355,Não Cancelou
8,0,39,4,6965,122,279,34,Contrato,Ativo,30,139948,Não Cancelou
4,0,41,1,3718,88,10,29,Pré-Pago,Ativo,30,19224,Não Cancelou
5,0,40,0,1665,50,46,21,Pré-Pago,Inativo,45,157875,Não Cancelou
8,0,41,1,2780,59,183,24,Pré-Pago,Ativo,25,951255,Não Cancelou
6,1,32,2,1315,42,201,12,Contrato,Ativo,30,85828,Cancelou
6,0,31,1,1568,45,38,69,Pré-Pago,Ativo,55,81195,Não Cancelou
13,0,32,0,700,31,18,8,Pré-Pago,Inativo,30,10124,Não Cancelou
2,0,31,0,825,16,29,4,Pré-Pago,Inativo,45,93525,Não Cancelou
12,0,30,1,1225,38,27,14,Pré-Pago,Ativo,25,178335,Não Cancelou
4,0,30,1,3225,67,16,24,Pré-Pago,Ativo,30,19568,Não Cancelou
4,0,23,1,1695,32,36,15,Pré-Pago,Ativo,30,21308,Não Cancelou
18,0,22,2,6392,147,93,43,Contrato,Ativo,25,712755,Não Cancelou
14,0,20,1,8932,177,81,41,Pré-Pago,Ativo,55,258135,Não Cancelou
10,0,21,4,2852,51,39,20,Pré-Pago,Ativo,30,27212,Não Cancelou
4,0,14,2,4390,46,223,11,Pré-Pago,Ativo,30,106944,Não Cancelou
5,1,14,2,1487,25,8,8,Pré-Pago,Ativo,30,9248,Cancelou
14,0,39,1,5080,82,30,17,Pré-Pago,Ativo,30,32648,Não Cancelou
6,0,40,0,1028,16,15,4,Pré-Pago,Inativo,30,10176,Não Cancelou
16,0,38,1,3163,71,367,24,Pré-Pago,Ativo,30,159736,Não Cancelou
16,0,39,1,4908,77,9,35,Pré-Pago,Ativo,15,323675,Não Cancelou
9,0,39,1,3103,69,10,33,Pré-Pago,Ativo,25,18774,Não Cancelou
17,0,39,2,4485,93,40,28,Pré-Pago,Ativo,30,34312,Não Cancelou
10,0,39,1,3070,50,293,18,Pré-Pago,Ativo,30,12968,Não Cancelou
19,0,38,3,9825,132,152,43,Pré-Pago,Ativo,30,100628,Não Cancelou
13,0,39,1,14483,180,8,44,Pré-Pago,Ativo,30,61852,Não Cancelou
13,0,39,2,5225,94,10,25,Pré-Pago,Ativo,30,25276,Não Cancelou
12,0,39,1,6628,106,15,12,Pré-Pago,Ativo,30,32936,Não Cancelou
15,0,39,0,2948,65,16,17,Pré-Pago,Inativo,30,18452,Não Cancelou
31,1,39,4,15850,236,62,32,Pré-Pago,Ativo,30,89144,Não Cancelou
10,0,39,2,3805,38,491,8,Pré-Pago,Ativo,30,211772,Não Cancelou
15,0,38,1,16195,193,158,30,Pré-Pago,Ativo,25,144846,Não Cancelou
9,0,38,2,7210,97,194,26,Pré-Pago,Ativo,30,106828,Não Cancelou
6,0,38,0,1585,25,8,11,Pré-Pago,Inativo,25,10845,Não Cancelou
8,0,39,0,1420,25,21,8,Pré-Pago,Inativo,30,1418,Não Cancelou
6,0,38,0,710,11,8,2,Pré-Pago,Inativo,25,68445,Cancelou
9,0,38,1,8218,138,392,43,Pré-Pago,Ativo,30,190224,Não Cancelou
13,0,38,2,12175,165,19,47,Pré-Pago,Ativo,45,356,Não Cancelou
14,0,38,2,7428,86,116,37,Pré-Pago,Ativo,25,86013,Não Cancelou
29,1,34,0,1665,58,24,17,Pré-Pago,Inativo,30,16492,Cancelou
27,0,37,9,11145,104,9,42,Contrato,Ativo,55,182235,Não Cancelou
19,0,37,2,6528,109,34,24,Pré-Pago,Ativo,25,451665,Não Cancelou
7,0,35,1,3550,33,8,14,Pré-Pago,Ativo,30,17532,Não Cancelou
15,1,36,0,3700,52,17,16,Pré-Pago,Inativo,30,21808,Cancelou
15,1,37,0,2978,55,42,31,Pré-Pago,Inativo,30,28932,Cancelou
6,0,37,0,843,13,8,2,Pré-Pago,Inativo,30,6624,Cancelou
7,0,37,1,2378,36,8,6,Pré-Pago,Ativo,45,8035,Não Cancelou
9,0,34,2,7495,108,22,22,Pré-Pago,Ativo,55,147045,Não Cancelou
6,1,37,0,1338,18,17,4,Pré-Pago,Inativo,45,764,Cancelou
6,0,37,2,1048,15,12,2,Pré-Pago,Ativo,55,33945,Não Cancelou
31,1,32,4,16785,249,8,80,Pré-Pago,Ativo,25,80253,Não Cancelou
12,1,35,4,7675,127,279,33,Contrato,Ativo,30,142808,Não Cancelou
8,0,37,1,4428,93,10,28,Pré-Pago,Ativo,30,22084,Não Cancelou
9,0,36,0,2375,55,46,20,Pré-Pago,Inativo,30,2812,Não Cancelou
12,0,37,1,3490,64,183,23,Pré-Pago,Ativo,25,98343,Não Cancelou
10,0,28,2,2025,47,201,11,Contrato,Ativo,30,88688,Não Cancelou
10,0,27,1,2278,50,38,68,Pré-Pago,Ativo,45,1532,Não Cancelou
17,0,28,0,1410,36,18,7,Pré-Pago,Inativo,30,12984,Não Cancelou
6,0,27,0,1535,21,29,3,Pré-Pago,Inativo,45,1114,Não Cancelou
16,0,26,1,1935,43,27,13,Pré-Pago,Ativo,25,21051,Não Cancelou
8,0,26,1,3935,72,16,23,Pré-Pago,Ativo,30,22428,Não Cancelou
8,0,19,1,2405,37,36,14,Pré-Pago,Ativo,25,27189,Não Cancelou
22,0,18,2,7102,152,93,42,Contrato,Ativo,25,74493,Não Cancelou
18,0,16,1,9642,182,81,40,Pré-Pago,Ativo,55,26886,Não Cancelou
14,0,17,4,3562,56,39,19,Contrato,Ativo,30,30072,Não Cancelou
8,0,10,2,5100,51,223,10,Pré-Pago,Ativo,30,109804,Não Cancelou
9,0,10,2,2197,30,8,7,Pré-Pago,Ativo,30,12108,Cancelou
2,0,37,0,3660,60,0,17,Pré-Pago,Ativo,25,1674,Não Cancelou
0,0,38,0,0,0,0,0,Pré-Pago,Inativo,25,0,Não Cancelou
4,0,36,0,1743,49,334,24,Pré-Pago,Ativo,25,158364,Não Cancelou
4,0,37,0,3488,55,0,35,Pré-Pago,Ativo,15,194865,Não Cancelou
0,0,37,0,1683,47,0,33,Pré-Pago,Ativo,15,9515,Não Cancelou
5,0,37,0,3065,71,7,28,Pré-Pago,Ativo,30,15344,Não Cancelou
0,0,37,0,1650,28,260,18,Pré-Pago,Ativo,30,110712,Não Cancelou
7,0,36,1,8405,110,119,43,Pré-Pago,Ativo,30,8166,Não Cancelou
1,0,37,0,13063,158,0,44,Pré-Pago,Ativo,30,52884,Não Cancelou
1,0,37,0,3805,72,0,25,Pré-Pago,Ativo,30,15508,Não Cancelou
0,0,37,0,5208,84,0,12,Pré-Pago,Ativo,25,23814,Não Cancelou
3,0,37,0,1528,43,0,17,Pré-Pago,Inativo,30,6284,Não Cancelou
19,0,37,2,14430,214,29,32,Pré-Pago,Ativo,30,70176,Não Cancelou
0,0,37,0,2385,16,458,8,Pré-Pago,Ativo,30,192804,Não Cancelou
3,0,36,0,14775,171,125,30,Pré-Pago,Ativo,25,123507,Não Cancelou
0,0,36,0,5790,75,161,26,Pré-Pago,Ativo,30,8786,Não Cancelou
0,0,36,0,165,3,0,11,Pré-Pago,Inativo,25,756,Não Cancelou
0,0,37,0,0,0,0,0,Pré-Pago,Inativo,25,0,Não Cancelou
0,0,36,0,0,0,0,0,Pré-Pago,Inativo,25,0,Cancelou
0,0,36,0,6798,116,359,43,Pré-Pago,Ativo,25,192663,Não Cancelou
1,0,36,0,10755,143,0,47,Pré-Pago,Ativo,30,43592,Não Cancelou
2,0,36,0,6008,64,83,37,Pré-Pago,Ativo,25,64674,Não Cancelou
17,0,32,0,245,36,0,17,Pré-Pago,Inativo,25,12645,Cancelou
15,0,35,7,9725,82,0,42,Pré-Pago,Ativo,45,245175,Não Cancelou
7,0,35,0,5108,87,1,24,Pré-Pago,Ativo,25,238275,Cancelou
0,0,33,0,2130,11,0,14,Pré-Pago,Ativo,30,8564,Não Cancelou
3,1,34,0,2280,30,0,16,Pré-Pago,Inativo,25,10395,Cancelou
3,0,35,0,1558,33,9,31,Pré-Pago,Inativo,30,9964,Cancelou
0,0,35,0,0,0,0,0,Pré-Pago,Inativo,30,0,Cancelou
0,0,35,0,958,14,0,6,Pré-Pago,Ativo,30,3888,Não Cancelou
0,0,32,0,6075,86,0,22,Pré-Pago,Ativo,45,154025,Não Cancelou
0,0,35,0,0,0,0,0,Pré-Pago,Inativo,45,0,Cancelou
0,0,35,0,0,0,0,0,Pré-Pago,Ativo,55,0,Não Cancelou
19,0,30,2,15365,227,0,80,Pré-Pago,Ativo,25,70164,Não Cancelou
0,0,33,2,6255,105,246,33,Contrato,Ativo,25,13932,Não Cancelou
0,0,35,0,3008,71,0,28,Pré-Pago,Ativo,25,138555,Não Cancelou
0,0,34,0,955,33,13,20,Pré-Pago,Inativo,30,9152,Não Cancelou
0,0,35,0,2070,42,150,23,Pré-Pago,Ativo,25,77004,Não Cancelou
0,0,26,0,605,25,168,11,Contrato,Ativo,25,78435,Não Cancelou
0,0,25,0,858,28,5,68,Pré-Pago,Ativo,45,3465,Não Cancelou
0,0,26,0,0,0,0,0,Pré-Pago,Inativo,25,0,Não Cancelou
0,0,25,0,0,0,0,0,Pré-Pago,Inativo,45,0,Não Cancelou
4,0,24,0,515,21,0,13,Pré-Pago,Ativo,25,2412,Não Cancelou
0,0,24,0,2515,50,0,23,Pré-Pago,Ativo,30,1026,Não Cancelou
0,0,17,0,985,15,3,14,Pré-Pago,Ativo,25,585,Não Cancelou
10,0,16,0,5682,130,60,42,Contrato,Ativo,15,64966,Não Cancelou
6,0,14,0,8222,160,48,40,Pré-Pago,Ativo,45,32955,Não Cancelou
2,0,15,2,2142,34,6,19,Pré-Pago,Ativo,30,11104,Não Cancelou
0,0,8,0,3680,29,190,10,Pré-Pago,Ativo,30,90836,Não Cancelou
0,0,8,0,777,8,0,7,Pré-Pago,Ativo,30,314,Cancelou
8,0,38,0,4370,71,5,17,Pré-Pago,Ativo,30,19764,Não Cancelou
0,0,39,0,318,5,7,4,Pré-Pago,Inativo,25,46035,Não Cancelou
10,0,37,0,2453,60,359,24,Pré-Pago,Ativo,30,153652,Não Cancelou
10,0,38,0,4198,66,1,35,Pré-Pago,Ativo,15,24002,Não Cancelou
3,0,38,0,2393,58,2,33,Pré-Pago,Ativo,15,145805,Não Cancelou
11,0,38,1,3775,82,32,28,Pré-Pago,Ativo,30,28228,Não Cancelou
4,0,38,0,2360,39,285,18,Pré-Pago,Ativo,30,123596,Não Cancelou
13,0,37,2,9115,121,144,43,Pré-Pago,Ativo,30,94544,Não Cancelou
7,0,38,0,13773,169,0,44,Pré-Pago,Ativo,30,55768,Não Cancelou
7,0,38,1,4515,83,2,25,Pré-Pago,Ativo,30,19192,Não Cancelou
6,0,38,0,5918,95,7,12,Pré-Pago,Ativo,30,26852,Não Cancelou
9,1,38,0,2238,54,8,17,Pré-Pago,Inativo,30,12368,Não Cancelou
25,0,38,3,15140,225,54,32,Pré-Pago,Ativo,30,8306,Não Cancelou
4,0,38,1,3095,27,483,8,Pré-Pago,Ativo,30,205688,Não Cancelou
9,0,37,0,15485,182,150,30,Pré-Pago,Ativo,25,1380015,Não Cancelou
3,0,37,1,6500,86,186,26,Pré-Pago,Ativo,30,100744,Não Cancelou
0,0,37,0,875,14,0,11,Pré-Pago,Inativo,25,40005,Não Cancelou
2,0,38,0,710,14,13,8,Pré-Pago,Inativo,30,8096,Não Cancelou
0,0,37,0,0,0,0,0,Pré-Pago,Inativo,25,0,Cancelou
3,0,37,0,7508,127,384,43,Pré-Pago,Ativo,25,2071575,Não Cancelou
7,0,37,1,11465,154,11,47,Pré-Pago,Ativo,45,317975,Não Cancelou
8,0,37,1,6718,75,108,37,Pré-Pago,Ativo,25,791685,Não Cancelou
23,0,33,0,955,47,16,17,Pré-Pago,Inativo,25,11709,Cancelou
21,1,36,8,10435,93,1,42,Pré-Pago,Ativo,55,15942,Não Cancelou
13,0,36,1,5818,98,26,24,Pré-Pago,Ativo,25,38322,Cancelou
1,0,34,0,2840,22,0,14,Pré-Pago,Ativo,30,11448,Não Cancelou
9,1,35,0,2990,41,9,16,Pré-Pago,Inativo,30,15724,Cancelou
9,0,36,0,2268,44,34,31,Pré-Pago,Inativo,30,22848,Cancelou
0,0,36,0,133,2,0,2,Pré-Pago,Inativo,30,54,Cancelou
1,0,36,0,1668,25,0,6,Pré-Pago,Ativo,30,6772,Não Cancelou
3,0,33,1,6785,97,14,22,Pré-Pago,Ativo,55,12423,Não Cancelou
0,0,36,0,628,7,9,4,Pré-Pago,Inativo,45,38375,Cancelou
0,0,36,1,338,4,4,2,Pré-Pago,Ativo,55,1113,Não Cancelou
25,0,31,3,16075,238,0,80,Pré-Pago,Ativo,25,734085,Não Cancelou
6,0,34,3,6965,116,271,33,Contrato,Ativo,25,1538145,Não Cancelou
2,0,36,0,3718,82,2,28,Pré-Pago,Ativo,25,180,Não Cancelou
3,0,35,0,1665,44,38,20,Pré-Pago,Inativo,30,22036,Não Cancelou
6,0,36,0,2780,53,175,23,Pré-Pago,Ativo,25,914985,Não Cancelou
4,1,27,1,1315,36,193,11,Contrato,Ativo,25,929295,Cancelou
4,0,26,0,1568,39,30,68,Pré-Pago,Ativo,45,115175,Não Cancelou
11,0,27,0,700,25,10,7,Pré-Pago,Inativo,25,77625,Não Cancelou
0,0,26,0,825,10,21,3,Pré-Pago,Inativo,45,73375,Não Cancelou
10,0,25,0,1225,32,19,13,Pré-Pago,Ativo,25,142065,Não Cancelou
2,0,25,0,3225,61,8,23,Pré-Pago,Ativo,30,16344,Não Cancelou
2,0,18,0,1695,26,28,14,Pré-Pago,Ativo,25,203445,Não Cancelou
16,0,17,1,6392,141,85,42,Contrato,Ativo,25,676485,Não Cancelou
12,0,15,0,8932,171,73,40,Pré-Pago,Ativo,45,410075,Não Cancelou
8,0,16,3,2852,45,31,19,Pré-Pago,Ativo,30,23988,Não Cancelou
2,0,9,1,4390,40,215,10,Pré-Pago,Ativo,30,10372,Não Cancelou
3,0,9,1,1487,19,0,7,Pré-Pago,Ativo,30,6024,Cancelou
8,0,38,0,4370,71,5,17,Pré-Pago,Ativo,30,19764,Não Cancelou
0,0,39,0,318,5,7,4,Pré-Pago,Inativo,25,46035,Não Cancelou
10,0,37,0,2453,60,359,24,Pré-Pago,Ativo,30,153652,Não Cancelou
10,0,38,0,4198,66,1,35,Pré-Pago,Ativo,15,24002,Não Cancelou
3,0,38,0,2393,58,2,33,Pré-Pago,Ativo,15,145805,Não Cancelou
11,0,38,1,3775,82,32,28,Pré-Pago,Ativo,30,28228,Não Cancelou
4,0,38,0,2360,39,285,18,Pré-Pago,Ativo,30,123596,Não Cancelou
13,0,37,2,9115,121,144,43,Pré-Pago,Ativo,30,94544,Não Cancelou
7,0,38,0,13773,169,0,44,Pré-Pago,Ativo,30,55768,Não Cancelou
7,0,38,1,4515,83,2,25,Pré-Pago,Ativo,30,19192,Não Cancelou
6,0,38,0,5918,95,7,12,Pré-Pago,Ativo,30,26852,Não Cancelou
9,1,38,0,2238,54,8,17,Pré-Pago,Inativo,30,12368,Não Cancelou
25,0,38,3,15140,225,54,32,Pré-Pago,Ativo,30,8306,Não Cancelou
4,0,38,1,3095,27,483,8,Pré-Pago,Ativo,30,205688,Não Cancelou
9,0,37,0,15485,182,150,30,Pré-Pago,Ativo,25,1380015,Não Cancelou
3,0,37,1,6500,86,186,26,Pré-Pago,Ativo,30,100744,Não Cancelou
0,0,37,0,875,14,0,11,Pré-Pago,Inativo,25,40005,Não Cancelou
2,0,38,0,710,14,13,8,Pré-Pago,Inativo,30,8096,Não Cancelou
0,0,37,0,0,0,0,0,Pré-Pago,Inativo,25,0,Cancelou
3,0,37,0,7508,127,384,43,Pré-Pago,Ativo,25,2071575,Não Cancelou
7,0,37,1,11465,154,11,47,Pré-Pago,Ativo,45,317975,Não Cancelou
8,0,37,1,6718,75,108,37,Pré-Pago,Ativo,25,791685,Não Cancelou
23,1,33,0,955,47,16,17,Pré-Pago,Inativo,25,11709,Cancelou
21,0,36,8,10435,93,1,42,Pré-Pago,Ativo,55,15942,Não Cancelou
13,1,36,1,5818,98,26,24,Pré-Pago,Ativo,25,38322,Cancelou
1,0,34,0,2840,22,0,14,Pré-Pago,Ativo,30,11448,Não Cancelou
9,0,35,0,2990,41,9,16,Pré-Pago,Inativo,30,15724,Cancelou
9,0,36,0,2268,44,34,31,Pré-Pago,Inativo,30,22848,Cancelou
0,0,36,0,133,2,0,2,Pré-Pago,Inativo,30,54,Cancelou
1,0,36,0,1668,25,0,6,Pré-Pago,Ativo,30,6772,Não Cancelou
3,0,33,1,6785,97,14,22,Pré-Pago,Ativo,55,12423,Não Cancelou
0,0,36,0,628,7,9,4,Pré-Pago,Inativo,45,38375,Cancelou
0,0,36,1,338,4,4,2,Pré-Pago,Ativo,55,1113,Não Cancelou
25,1,31,3,16075,238,0,80,Pré-Pago,Ativo,25,734085,Não Cancelou
6,0,34,3,6965,116,271,33,Contrato,Ativo,25,1538145,Não Cancelou
2,0,36,0,3718,82,2,28,Pré-Pago,Ativo,25,180,Não Cancelou
3,0,35,0,1665,44,38,20,Pré-Pago,Inativo,30,22036,Não Cancelou
6,0,36,0,2780,53,175,23,Pré-Pago,Ativo,25,914985,Não Cancelou
4,0,27,1,1315,36,193,11,Contrato,Ativo,25,929295,Não Cancelou
4,0,26,0,1568,39,30,68,Pré-Pago,Ativo,45,115175,Não Cancelou
11,0,27,0,700,25,10,7,Pré-Pago,Inativo,25,77625,Não Cancelou
0,0,26,0,825,10,21,3,Pré-Pago,Inativo,45,73375,Não Cancelou
10,0,25,0,1225,32,19,13,Pré-Pago,Ativo,25,142065,Não Cancelou
2,0,25,0,3225,61,8,23,Pré-Pago,Ativo,30,16344,Não Cancelou
2,0,18,0,1695,26,28,14,Pré-Pago,Ativo,25,203445,Não Cancelou
16,0,17,1,6392,141,85,42,Contrato,Ativo,25,676485,Não Cancelou
12,0,15,0,8932,171,73,40,Pré-Pago,Ativo,45,410075,Não Cancelou
8,0,16,3,2852,45,31,19,Pré-Pago,Ativo,30,23988,Não Cancelou
2,0,9,1,4390,40,215,10,Pré-Pago,Ativo,30,10372,Não Cancelou
3,1,9,1,1487,19,0,7,Pré-Pago,Ativo,30,6024,Cancelou
3,0,36,0,4065,65,0,15,Pré-Pago,Ativo,25,18585,Não Cancelou
0,0,37,0,0,0,0,0,Pré-Pago,Inativo,25,0,Não Cancelou
5,0,35,0,2148,54,352,22,Pré-Pago,Ativo,25,168309,Não Cancelou
5,0,36,0,3893,60,0,33,Pré-Pago,Ativo,15,217415,Não Cancelou
0,0,36,0,2088,52,0,31,Pré-Pago,Ativo,15,1177,Não Cancelou
6,0,36,0,3470,76,25,26,Pré-Pago,Ativo,25,27207,Não Cancelou
0,0,36,0,2055,33,278,16,Pré-Pago,Ativo,30,119552,Não Cancelou
8,0,35,1,8810,115,137,41,Pré-Pago,Ativo,30,905,Não Cancelou
2,0,36,0,13468,163,0,42,Pré-Pago,Ativo,30,54524,Não Cancelou
2,0,36,0,4210,77,0,23,Pré-Pago,Ativo,30,17148,Não Cancelou
1,0,36,0,5613,89,0,10,Pré-Pago,Ativo,25,25659,Não Cancelou
4,0,36,0,1933,48,1,15,Pré-Pago,Inativo,30,8324,Não Cancelou
20,0,36,2,14835,219,47,30,Pré-Pago,Ativo,30,79016,Não Cancelou
0,0,36,0,2790,21,476,6,Pré-Pago,Ativo,30,201644,Não Cancelou
4,0,35,0,15180,176,143,28,Pré-Pago,Ativo,25,133452,Não Cancelou
0,0,35,0,6195,80,179,24,Pré-Pago,Ativo,30,967,Não Cancelou
0,0,35,0,570,8,0,9,Pré-Pago,Inativo,25,2601,Não Cancelou
0,0,36,0,405,8,6,6,Pré-Pago,Inativo,25,45585,Não Cancelou
0,0,35,0,0,0,0,0,Pré-Pago,Inativo,25,0,Cancelou
0,0,35,0,7203,121,377,41,Pré-Pago,Ativo,25,202608,Não Cancelou
2,0,35,0,11160,148,4,45,Pré-Pago,Ativo,30,46832,Não Cancelou
3,0,35,0,6413,69,101,35,Pré-Pago,Ativo,25,74619,Não Cancelou
18,0,31,0,650,41,9,15,Pré-Pago,Inativo,25,71595,Cancelou
16,0,34,7,10130,87,0,40,Pré-Pago,Ativo,45,255425,Não Cancelou
8,1,34,0,5513,92,19,22,Pré-Pago,Ativo,25,337725,Cancelou
0,0,32,0,2535,16,0,12,Pré-Pago,Ativo,30,10204,Não Cancelou
4,0,33,0,2685,35,2,14,Pré-Pago,Inativo,25,1314,Cancelou
4,0,34,0,1963,38,27,29,Pré-Pago,Inativo,30,18804,Cancelou
0,1,34,0,0,0,0,0,Pré-Pago,Inativo,30,0,Cancelou
0,0,34,0,1363,19,0,4,Pré-Pago,Ativo,30,5528,Não Cancelou
0,0,31,0,6480,91,7,20,Pré-Pago,Ativo,45,181775,Não Cancelou
0,0,34,0,323,1,2,2,Pré-Pago,Inativo,45,131,Cancelou
0,0,34,0,0,0,0,0,Pré-Pago,Ativo,55,0,Não Cancelou
20,0,29,2,15770,232,0,78,Pré-Pago,Ativo,25,72009,Não Cancelou
1,0,32,2,6660,110,264,31,Contrato,Ativo,25,149265,Não Cancelou
0,0,34,0,3413,76,0,26,Pré-Pago,Ativo,25,157005,Não Cancelou
0,0,33,0,1360,38,31,18,Pré-Pago,Inativo,30,17992,Não Cancelou
1,0,34,0,2475,47,168,21,Pré-Pago,Ativo,25,86949,Não Cancelou
0,1,25,0,1010,30,186,9,Contrato,Ativo,25,8838,Cancelou
0,0,24,0,1263,33,23,66,Pré-Pago,Ativo,45,899,Não Cancelou
6,0,25,0,395,19,3,5,Pré-Pago,Inativo,25,3213,Não Cancelou
0,0,24,0,520,4,14,1,Pré-Pago,Inativo,45,481,Não Cancelou
5,0,23,0,920,26,12,11,Pré-Pago,Ativo,25,9657,Não Cancelou
0,0,23,0,2920,55,1,21,Pré-Pago,Ativo,30,123,Não Cancelou
0,0,16,0,1390,20,21,12,Pré-Pago,Ativo,25,15795,Não Cancelou
11,0,15,0,6088,135,78,40,Contrato,Ativo,15,771265,Não Cancelou
7,0,13,0,8628,165,66,38,Pré-Pago,Ativo,45,384825,Não Cancelou
3,0,14,2,2548,39,24,17,Pré-Pago,Ativo,30,19948,Não Cancelou
0,0,7,0,4085,34,208,8,Pré-Pago,Ativo,30,99676,Não Cancelou
0,1,7,0,1183,13,0,5,Pré-Pago,Inativo,25,5382,Cancelou
6,0,38,0,4125,68,3,17,Pré-Pago,Ativo,25,202185,Não Cancelou
0,0,39,0,73,2,5,4,Pré-Pago,Ativo,25,25875,Não Cancelou
8,0,37,0,2208,57,357,24,Pré-Pago,Ativo,25,1708425,Não Cancelou
8,0,38,0,3953,63,0,35,Pré-Pago,Ativo,15,22088,Não Cancelou
1,0,38,0,2148,55,0,33,Pré-Pago,Ativo,15,121165,Não Cancelou
9,0,38,1,3530,79,30,28,Pré-Pago,Ativo,30,26436,Não Cancelou
2,0,38,0,2115,36,283,18,Pré-Pago,Ativo,30,121804,Não Cancelou
11,0,37,2,8870,118,142,43,Pré-Pago,Ativo,30,92752,Não Cancelou
5,0,38,0,13528,166,0,44,Pré-Pago,Ativo,30,54776,Não Cancelou
5,0,38,1,4270,80,0,25,Pré-Pago,Ativo,30,174,Não Cancelou
4,0,38,0,5673,92,5,12,Pré-Pago,Ativo,25,281925,Não Cancelou
7,0,38,0,1993,51,6,17,Pré-Pago,Ativo,30,10576,Não Cancelou
23,0,38,3,14895,222,52,32,Pré-Pago,Ativo,30,81268,Não Cancelou
2,0,38,1,2850,24,481,8,Pré-Pago,Ativo,30,203896,Não Cancelou
7,0,37,0,15240,179,148,30,Pré-Pago,Ativo,25,1359855,Não Cancelou
1,0,37,1,6255,83,184,26,Pré-Pago,Ativo,30,98952,Não Cancelou
0,0,37,0,630,11,0,11,Pré-Pago,Ativo,25,28845,Não Cancelou
0,0,38,0,465,11,11,8,Pré-Pago,Ativo,25,7092,Não Cancelou
0,0,37,0,0,0,0,0,Pré-Pago,Ativo,25,0,Cancelou
1,0,37,0,7263,124,382,43,Pré-Pago,Ativo,25,2051415,Não Cancelou
5,0,37,1,11220,151,9,47,Pré-Pago,Ativo,30,49084,Não Cancelou
6,0,37,1,6473,72,106,37,Pré-Pago,Ativo,25,771525,Não Cancelou
